royalty_id,track_id,artist_id,label_id,quarter,streams_credited,rate_per_stream,total_payout_usd
1,1,1,15,2016-Q2,102427,0.0046,471.16
2,1,1,15,2022-Q2,156540,0.0046,720.08
3,1,1,15,2018-Q3,136919,0.0046,629.83
4,1,1,15,2020-Q3,80970,0.0046,372.46
5,2,2,9,2023-Q4,9079,0.0079,71.72
6,2,2,9,2024-Q1,17098,0.0079,135.07
7,2,2,9,2020-Q4,6634,0.0079,52.41
8,2,2,9,2024-Q3,11700,0.0079,92.43
9,2,2,9,2023-Q2,16287,0.0079,128.67
10,2,2,9,2020-Q3,19622,0.0079,155.01
11,3,3,15,2018-Q1,56119,0.0046,258.15
12,3,3,15,2018-Q4,110093,0.0046,506.43
13,4,4,30,2020-Q3,74736,0.0052,388.63
14,4,4,30,2016-Q1,74581,0.0052,387.82
15,4,4,30,2020-Q4,60654,0.0052,315.4
16,4,4,30,2022-Q2,79289,0.0052,412.3
17,4,4,30,2024-Q1,116093,0.0052,603.68
18,5,5,9,2020-Q1,129128,0.0079,1020.11
19,5,5,9,2018-Q1,90339,0.0079,713.68
20,6,6,16,2021-Q2,14646,0.0032,46.87
21,6,6,16,2024-Q4,12153,0.0032,38.89
22,6,6,16,2022-Q4,23020,0.0032,73.66
23,6,6,16,2020-Q4,15148,0.0032,48.47
24,6,6,16,2021-Q3,18862,0.0032,60.36
25,7,7,1,2021-Q2,530108,0.0038,2014.41
26,7,7,1,2017-Q4,654541,0.0038,2487.26
27,7,7,1,2016-Q4,505868,0.0038,1922.3
28,7,7,1,2019-Q2,507309,0.0038,1927.77
29,7,7,1,2023-Q4,866411,0.0038,3292.36
30,8,8,18,2023-Q4,112013,0.0046,515.26
31,8,8,18,2022-Q2,52929,0.0046,243.47
32,8,8,18,2023-Q1,67166,0.0046,308.96
33,8,8,18,2024-Q4,116599,0.0046,536.36
34,8,8,18,2023-Q2,76748,0.0046,353.04
35,9,9,19,2023-Q3,697265,0.0076,5299.21
36,9,9,19,2024-Q3,1213870,0.0076,9225.41
37,9,9,19,2023-Q4,800142,0.0076,6081.08
38,9,9,19,2023-Q1,608780,0.0076,4626.73
39,9,9,19,2023-Q2,1381972,0.0076,10502.99
40,10,10,29,2023-Q4,126105,0.0068,857.51
41,10,10,29,2022-Q1,94124,0.0068,640.04
42,10,10,29,2021-Q3,96208,0.0068,654.21
43,11,11,25,2024-Q1,107131,0.0051,546.37
44,11,11,25,2019-Q2,120254,0.0051,613.3
45,12,12,29,2015-Q1,47837,0.0068,325.29
46,12,12,29,2024-Q4,46023,0.0068,312.96
47,12,12,29,2019-Q1,77698,0.0068,528.35
48,12,12,29,2017-Q1,100393,0.0068,682.67
49,12,12,29,2024-Q2,148409,0.0068,1009.18
50,13,13,9,2021-Q2,663270,0.0079,5239.83
51,13,13,9,2018-Q3,644159,0.0079,5088.86
52,13,13,9,2019-Q4,817585,0.0079,6458.92
53,13,13,9,2022-Q3,691357,0.0079,5461.72
54,14,14,7,2024-Q3,571510,0.0048,2743.25
55,14,14,7,2022-Q2,826740,0.0048,3968.35
56,14,14,7,2024-Q2,846499,0.0048,4063.2
57,15,15,13,2024-Q2,90929,0.0039,354.62
58,15,15,13,2021-Q4,96072,0.0039,374.68
59,16,16,22,2017-Q3,101939,0.005,509.69
60,16,16,22,2017-Q1,125548,0.005,627.74
61,17,17,19,2024-Q2,69245,0.0076,526.26
62,17,17,19,2023-Q4,68336,0.0076,519.35
63,17,17,19,2019-Q4,88936,0.0076,675.91
64,17,17,19,2023-Q3,111606,0.0076,848.21
65,17,17,19,2015-Q2,68090,0.0076,517.48
66,18,18,20,2019-Q3,827841,0.0037,3063.01
67,18,18,20,2022-Q1,830950,0.0037,3074.52
68,18,18,20,2020-Q3,673661,0.0037,2492.55
69,19,19,23,2018-Q1,452574,0.0055,2489.16
70,19,19,23,2019-Q3,1129754,0.0055,6213.65
71,19,19,23,2020-Q4,855432,0.0055,4704.88
