collab_id,track_id,primary_artist_id,featured_artist_id
1,6903,182,98
2,5829,161,172
3,10477,171,193
4,9057,126,188
5,8488,198,181
6,1038,126,75
7,10727,92,205
8,1970,97,165
9,10866,135,34
10,4640,112,70
11,9622,25,231
12,12110,4,175
13,8174,111,211
14,9728,105,229
15,7857,183,54
16,4902,11,214
17,5728,63,173
18,2628,199,19
19,435,126,49
20,582,246,222
21,6072,85,164
22,13394,226,157
23,2986,98,175
24,3602,114,89
25,14982,216,132
26,6354,200,178
27,4279,25,116
28,3405,74,89
29,13601,203,176
30,10448,110,146
31,8887,211,187
32,1834,53,250
33,8687,6,133
34,11103,216,144
35,13301,91,205
36,3581,247,87
37,1460,248,201
38,10536,177,133
39,7036,128,89
40,11724,37,89
41,12746,90,14
42,13729,50,239
43,564,4,189
44,11560,123,60
45,9943,94,30
46,3513,172,89
47,904,9,89
48,8501,70,30
49,4670,22,40
50,725,67,113
51,9913,169,134
52,9602,216,101
53,1589,166,89
54,3452,55,89
55,4263,200,89
56,1688,141,89
57,11206,12,71
58,4990,39,29
59,4453,107,150
60,12332,6,60
61,12074,217,11
62,13690,107,175
63,5403,22,109
64,8470,176,184
65,5451,45,166
66,13617,38,17
67,7584,166,179
68,12232,187,127
69,14346,241,163
70,4438,197,98
71,5011,208,43
72,9101,91,158
73,12568,68,89
74,2372,20,59
75,13236,180,245
76,7369,24,89
77,6171,105,14
78,11052,87,221
79,10853,4,124
80,7497,173,175
81,9454,179,89
82,11212,187,11
83,2002,72,176
84,12258,110,6
85,364,126,230
86,13650,216,77
87,5722,245,68
88,1423,162,210
89,8099,218,89
90,14851,201,69
91,6788,76,38
92,1397,91,131
93,6902,141,170
94,8291,197,63
95,9289,77,248
96,8393,112,16
97,1016,194,21
98,11283,46,148
99,13039,226,119
100,5727,5,105
101,7714,217,188
102,4130,218,2
103,1682,110,5
104,11020,125,89
105,13192,33,8
106,7684,116,178
107,3453,69,27
108,4268,19,89
109,7744,203,164
110,494,131,243
111,3961,232,115
112,3902,214,89
113,11766,81,199
114,5518,95,24
115,1561,72,80
116,401,121,241
117,12448,136,209
118,339,8,67
119,1950,100,39
120,11612,6,56
121,1230,43,225
122,2909,250,152
123,14725,160,225
124,5932,134,89
125,5247,217,74
126,2321,2,136
127,2611,218,89
128,8436,10,83
129,12548,168,89
130,8680,132,232
131,13354,194,173
132,945,86,89
133,4256,212,122
134,11971,124,86
135,8829,88,58
136,13053,147,196
137,9426,15,224
138,14407,186,25
139,7703,114,113
140,6819,55,15
141,9785,108,69
142,12191,51,180
143,767,205,41
144,1363,92,231
145,7358,214,230
146,2618,13,89
147,13847,70,175
148,8521,122,63
149,8776,184,217
150,10265,194,250
151,6439,167,217
152,11264,9,89
153,9334,146,96
154,13874,36,157
155,11421,146,44
156,7375,121,53
157,7042,73,89
158,12501,84,187
159,14888,159,124
160,4208,219,42
161,9000,6,105
162,4002,219,68
163,7157,90,156
164,14769,172,165
165,14919,217,50
166,8297,8,206
167,10373,160,67
168,8147,241,131
169,6074,226,140
170,120,120,8
171,5930,230,238
172,3799,216,209
173,8892,125,1
174,4764,199,128
175,6212,46,133
176,10263,37,10
177,14715,237,123
178,5336,22,135
179,9540,34,243
180,727,32,113
181,11621,177,189
182,7337,92,6
183,1803,249,120
184,886,232,184
185,2166,19,89
186,2752,64,89
187,8494,76,181
188,14905,160,139
189,6312,206,18
190,9869,108,127
191,11315,245,106
192,9522,21,211
193,13428,215,89
194,1164,75,208
195,12695,239,135
196,4482,233,89
197,14196,6,245
198,2270,156,89
199,973,198,193
200,6722,86,64
201,5316,9,96
202,3507,203,101
203,7374,230,145
204,12297,46,169
205,1063,63,204
206,52,52,126
207,12165,115,189
208,1954,122,186
209,13284,39,142
210,1733,96,244
211,2203,145,179
212,12350,29,16
213,9467,190,89
214,10232,139,48
215,13324,194,148
216,3850,192,167
217,7946,95,52
218,5242,60,88
219,6676,64,180
220,9836,239,55
221,13140,229,142
222,4915,30,207
223,5971,243,76
224,14746,92,60
225,5203,20,57
226,2673,205,89
227,11266,124,166
228,14547,198,225
229,7332,51,89
230,7185,31,156
231,7794,144,224
232,10205,105,130
233,4006,47,220
234,548,216,89
235,6816,249,82
236,1875,197,160
237,6333,229,190
238,8342,68,113
239,6352,171,143
240,6675,222,97
241,2789,226,89
242,611,19,89
243,12613,4,78
244,14456,193,197
245,10963,13,39
246,2586,3,15
247,13327,106,187
248,7716,58,77
249,8938,249,222
250,13423,11,76
251,3164,91,197
252,12701,98,221
253,12432,62,220
254,2979,224,91
255,7705,140,7
256,12553,205,222
257,6899,65,8
258,13501,111,215
259,13309,152,244
260,11691,83,229
261,1909,30,90
262,6260,6,82
263,6980,52,201
264,10582,114,21
265,13659,159,30
266,14692,38,201
267,420,45,31
268,7569,1,226
269,10022,35,98
270,8706,46,88
271,6014,216,59
272,13071,42,109
273,5793,27,62
274,1886,194,131
275,9368,197,245
276,7795,35,232
277,2966,45,103
278,8163,54,69
279,4127,163,147
280,7331,184,171
281,6205,214,212
282,10847,49,114
283,14437,14,242
284,11980,246,130
285,11615,23,161
286,11361,226,108
287,12686,217,73
288,1080,14,205
289,11871,86,12
290,14774,136,114
291,1220,91,110
292,12616,11,100
293,11125,87,140
294,10429,132,92
295,2604,169,44
296,12317,56,178
297,14614,149,238
298,5579,8,89
299,14482,194,202
300,14069,92,181
301,10564,86,39
302,9661,157,224
303,7114,41,224
304,9884,202,41
305,1234,70,230
306,2362,200,203
307,1147,224,209
308,3176,49,71
309,10717,221,121
310,7112,22,110
311,592,118,131
312,12994,45,155
313,10817,89,124
314,1592,181,73
315,14891,11,89
316,11050,179,89
317,925,77,89
318,10734,142,155
319,4631,175,89
320,2835,9,21
321,7872,23,89
322,5190,193,195
323,7483,106,114
324,10824,137,112
325,9345,111,2
326,1446,18,72
327,7341,1,116
328,273,192,185
329,11171,204,12
330,9973,30,81
331,3021,94,17
332,12255,132,122
333,27,27,89
334,6264,53,89
335,2420,11,140
336,948,82,86
337,8406,174,16
338,1837,102,61
339,1208,189,89
340,7127,193,78
341,4553,6,227
342,3395,14,211
343,1507,34,35
344,11872,42,163
345,11895,76,228
346,3398,199,74
347,12439,181,132
348,1219,127,164
349,10370,53,25
350,13889,146,225
351,9691,218,37
352,749,124,40
353,9782,183,153
354,10100,178,43
355,13315,80,52
356,7587,180,224
357,9738,115,60
358,8592,24,226
359,7927,172,177
360,11501,131,217
361,2291,17,89
362,10601,136,18
363,11844,106,22
364,2566,159,220
365,8416,24,15
366,12923,47,106
367,13414,32,21
368,1649,42,15
369,1667,138,114
370,11046,74,189
371,12919,222,158
372,3619,66,118
373,8398,52,215
374,13554,247,169
375,7001,18,58
376,4382,206,81
377,3198,196,89
378,3460,192,89
379,3228,183,207
380,4825,237,118
381,12097,88,89
382,13398,195,210
383,604,32,76
384,13561,160,89
385,772,171,88
386,7149,12,3
387,8746,61,63
388,9757,99,89
389,11474,147,89
390,12022,19,165
391,5355,162,56
392,10550,87,172
393,1288,192,150
394,11681,32,149
395,8359,35,177
396,472,202,89
397,5510,58,115
398,8204,222,89
399,9464,23,4
400,424,80,60
401,13611,128,154
402,10758,49,119
403,6062,152,89
404,7790,60,40
405,2403,213,97
406,10068,87,160
407,5904,217,49
408,10279,171,70
409,1732,192,203
410,7544,95,71
411,5380,182,229
412,5286,217,209
413,13156,82,202
414,14697,239,189
415,6729,193,165
416,1054,92,29
417,405,249,210
418,13620,83,242
419,16,16,64
420,12634,184,72
421,5646,244,77
422,7498,171,13
423,7250,228,167
424,8035,104,96
425,5502,14,71
426,3734,206,232
427,13559,149,89
428,5341,62,70
429,11709,218,75
430,824,135,89
431,4147,46,12
432,4559,26,89
433,8290,29,42
434,6549,69,142
435,1280,58,89
436,4201,55,52
437,1059,168,164
438,13137,110,115
439,2469,134,223
440,8570,22,187
441,12046,172,247
442,14685,222,100
443,13352,94,49
444,10661,169,160
445,3234,200,217
446,3474,193,233
447,12338,178,89
448,4708,2,65
449,11240,56,151
450,8747,241,148
451,7187,183,219
452,7534,60,10
453,3564,41,141
454,10529,97,112
455,210,210,89
456,11393,71,11
457,6364,122,157
458,1579,128,101
459,1396,188,93
460,12357,202,79
461,11086,216,18
462,6658,186,88
463,3708,11,43
464,10039,87,148
465,11484,35,89
466,134,134,216
467,6129,28,230
468,1955,159,89
469,1654,166,67
470,9610,69,230
471,11661,39,89
472,3970,120,35
473,7464,197,249
474,9285,241,89
475,1229,83,203
476,13018,161,89
477,1921,43,89
478,12584,230,90
479,5906,22,243
480,8815,67,89
481,13290,212,131
482,1707,115,173
483,3971,137,62
484,12518,181,168
485,2216,160,239
486,5856,230,81
487,6164,65,36
488,11925,32,198
489,4112,162,83
490,14280,178,89
491,7318,184,202
492,11314,83,89
493,5149,137,111
494,9914,220,203
495,7115,174,130
496,356,136,245
497,4041,229,170
498,3834,172,61
499,11051,72,103
500,9668,80,89
501,4178,173,89
502,7447,76,151
503,2082,89,92
504,6673,230,72
505,8042,245,140
506,7852,62,218
507,81,81,122
508,2397,249,184
509,8880,67,82
510,6466,119,209
511,3214,205,230
512,10312,245,103
513,13494,132,119
514,14684,132,125
515,4196,117,89
516,1822,113,148
517,6271,62,51
518,3910,101,237
519,12152,88,110
520,470,163,16
521,8474,151,197
522,5490,227,69
523,13461,122,68
524,8309,210,175
525,11847,28,166
526,11435,102,80
527,1945,188,209
528,3913,124,84
529,7073,141,201
530,115,115,208
531,4519,94,89
532,7762,236,121
533,14120,135,205
534,5991,82,21
535,11105,218,69
536,7869,50,65
537,14580,81,189
538,12045,31,80
539,2600,179,11
540,2896,199,45
541,8238,11,61
542,3589,130,178
543,12995,37,7
544,8300,168,145
545,12862,52,62
546,8924,70,175
547,5363,14,49
548,13596,239,150
549,6740,216,76
550,11905,51,226
551,6115,175,89
552,8788,7,186
553,14342,86,231
554,9250,1,46
555,9378,14,89
556,5163,189,89
557,14845,242,89
558,5929,106,25
559,1925,169,122
560,10799,34,112
561,1563,69,79
562,1713,30,133
563,8765,70,216
564,10500,166,1
565,8232,101,125
566,9637,200,65
567,10162,70,234
568,13932,168,217
569,10106,113,37
570,9381,245,79
571,8108,19,48
572,1559,200,184
573,4715,88,39
574,8038,164,46
575,788,48,225
576,14186,68,77
577,13576,77,143
578,14177,21,8
579,11087,27,159
580,11262,92,225
581,4101,147,120
582,5083,210,123
583,8021,179,201
584,4795,199,24
585,7405,58,209
586,1268,24,192
587,14314,196,15
588,1361,34,52
589,14849,42,122
590,5851,127,26
591,9383,250,74
592,383,64,178
593,3673,246,127
594,11659,217,89
595,5278,203,169
596,6739,250,12
597,113,113,189
598,13833,194,234
599,3092,153,227
600,460,207,177
601,11827,120,6
602,12715,4,149
603,5171,37,185
604,5899,106,245
605,8577,109,201
606,13513,216,103
607,1778,197,149
608,2347,219,168
609,4832,147,196
610,542,111,51
611,14879,244,206
612,340,64,89
613,6365,102,177
614,12731,123,56
615,6157,109,141
616,12397,152,89
617,9238,249,9
618,6208,137,146
619,1764,227,89
620,4269,60,127
621,8701,27,237
622,4316,115,154
623,4008,81,89
624,13024,32,18
625,12055,106,89
626,13350,149,10
627,3208,242,99
628,2038,110,123
629,10041,77,124
630,14586,85,89
631,2416,102,243
632,13952,4,47
633,13456,97,5
634,9969,157,15
635,12059,222,111
636,7677,97,12
637,3593,1,89
638,11652,222,31
639,14641,180,172
640,10031,162,122
641,11215,183,35
642,7220,195,213
643,5786,90,37
644,9926,87,48
645,3718,77,128
646,11643,151,54
647,9483,161,96
648,2125,91,50
649,3778,94,130
650,13571,172,89
651,14518,21,29
652,9071,168,126
653,8931,225,122
654,12649,139,74
655,11256,143,39
656,13346,29,137
657,3302,46,148
658,2422,131,111
659,10165,177,224
660,13368,43,195
661,8319,6,137
662,14811,206,237
663,2655,205,195
664,13769,7,218
665,12049,218,29
666,14454,34,248
667,678,23,89
668,14320,67,182
669,6761,166,23
670,8437,73,89
671,1153,182,37
672,9281,23,224
673,10025,86,46
674,10182,86,228
675,13373,125,146
676,9784,38,89
677,13319,155,212
678,3825,87,79
679,4575,218,24
680,1715,64,181
681,10862,230,89
682,10672,147,112
683,8620,100,42
684,5785,62,186
685,10888,162,193
686,2116,53,7
687,12689,198,102
688,1510,206,190
689,7977,13,159
690,9982,180,125
691,8447,166,137
692,5385,248,164
693,14097,64,130
694,4148,28,89
695,7243,114,188
696,9554,138,218
697,7333,166,89
698,3488,205,154
699,2318,98,56
700,13531,226,51
701,6810,213,89
702,3710,212,115
703,3759,24,93
704,2279,152,33
705,8923,68,201
706,7477,80,190
707,9796,65,228
708,5613,9,132
709,7625,250,180
710,11741,212,162
711,596,100,88
712,14600,231,130
713,1455,91,151
714,1376,96,10
715,1959,86,104
716,5157,132,174
717,6441,32,232
718,7040,55,207
719,10393,33,89
720,9648,71,89
721,4413,30,35
722,14497,204,138
723,9346,87,71
724,3614,181,42
725,9465,15,201
726,10858,134,228
727,609,30,35
728,1539,87,91
729,5524,35,95
730,5497,222,120
731,5235,54,207
732,2513,107,89
733,5415,89,16
734,10235,11,250
735,14575,171,86
736,13291,114,236
737,1332,132,89
738,9745,122,47
739,8314,45,119
740,508,103,15
741,9328,168,190
742,4980,162,243
743,11168,205,122
744,2919,215,69
745,9614,22,231
746,13457,53,89
747,13410,65,76
748,14733,109,169
749,10558,131,89
750,12963,131,40
751,11184,68,33
752,7715,4,2
753,8345,116,16
754,4703,77,232
755,7488,116,224
756,2970,131,52
757,3939,15,92
758,3387,63,238
759,4167,209,45
760,1429,112,125
761,8298,171,26
762,7782,42,200
763,5437,217,100
764,3213,87,181
765,1225,166,20
766,5880,105,126
767,3698,229,89
768,10048,216,132
769,8676,122,22
770,12011,167,89
771,12525,166,154
772,6385,165,250
773,6500,122,89
774,3906,117,89
775,13228,18,242
776,2976,93,7
777,8613,49,178
778,133,133,190
779,4061,90,184
780,7462,220,239
781,1924,83,31
782,12600,191,126
783,3801,126,239
784,9348,166,153
785,1024,66,4
786,14501,237,97
787,8024,74,89
788,71,71,194
789,4993,171,138
790,13017,214,89
791,369,217,141
792,7360,23,135
793,5846,92,137
794,8175,122,169
795,2662,73,129
796,11338,12,145
797,4975,15,199
798,13125,184,103
799,8948,245,128
800,1044,1,203
801,14718,36,114
802,11312,179,157
803,8748,162,49
804,1991,110,89
805,11122,130,123
806,7439,166,173
807,14532,134,90
808,8450,206,12
809,1168,149,159
810,4683,36,167
811,2218,198,189
812,9931,60,7
813,12503,91,227
814,13380,111,224
815,6152,152,69
816,3259,183,132
817,4919,81,217
818,5244,184,64
819,9087,108,9
820,11469,116,114
821,11365,18,230
822,8324,109,217
823,3757,127,115
824,6933,99,94
825,9570,24,240
826,11578,157,129
827,8657,243,120
828,13496,79,53
829,14422,196,83
830,5111,11,29
831,8546,178,200
832,2398,9,89
833,9938,121,93
834,3099,3,133
835,1997,184,214
836,3874,55,86
837,2071,74,66
838,8764,122,69
839,10179,93,94
840,13267,187,120
841,7226,3,244
842,8131,67,161
843,4252,123,160
844,12176,106,90
845,12812,75,184
846,4597,20,156
847,5076,133,119
848,7417,182,60
849,13246,131,89
850,11307,125,26
851,13337,197,33
852,14574,43,53
853,8517,187,40
854,11509,111,205
855,12093,82,239
856,734,81,167
857,8074,226,77
858,13883,86,236
859,10223,199,111
860,942,199,60
861,14475,186,77
862,14443,58,161
863,13358,194,216
864,2056,84,109
865,2697,216,83
866,13395,108,59
867,11480,208,119
868,11242,105,106
869,4810,2,75
870,1110,243,124
871,181,181,190
872,6752,97,123
873,13681,89,237
874,2632,102,3
875,9026,96,48
876,4317,22,135
877,10011,95,225
878,13843,47,81
879,6088,83,168
880,2690,121,68
881,8761,8,28
882,10140,80,203
883,12018,205,10
884,11481,74,4
885,2520,116,155
886,2656,216,61
887,7522,95,97
888,14956,149,166
889,7514,225,41
890,10962,31,89
891,14896,162,131
892,8533,233,183
893,11908,116,46
894,9976,141,93
895,7792,178,23
896,13589,160,89
897,9015,64,32
898,6988,177,69
899,4255,6,115
900,11700,30,83
901,14606,160,161
902,8827,158,202
903,3905,212,199
904,3908,202,126
905,6617,124,247
906,7645,208,89
907,4018,229,180
908,3428,114,208
909,4291,6,51
910,12874,172,131
911,2215,154,76
912,5289,8,129
913,3735,169,51
914,10631,191,167
915,14124,187,237
916,13445,56,215
917,10903,196,118
918,7854,194,213
919,10897,229,141
920,5749,19,248
921,1461,2,173
922,303,128,130
923,8046,136,11
924,11802,181,89
925,7884,37,24
926,13754,152,188
927,2283,90,12
928,10028,183,90
929,2813,55,186
930,14657,11,89
931,9267,2,192
932,9343,217,106
933,5661,68,89
934,7636,193,112
935,11428,145,7
936,14921,195,186
937,7306,126,52
938,6759,152,12
